term_id,query,f1,precision,recall,n_pos,n_neg,q_len,has_brand,main_cat,f1_bin
TERM_00065254,tirbuşon,1.0,1.0,1.0,12,60,1,False,ev & mobilya,0.9
TERM_000e6a73,ayaklı sunumluk kase,0.9530638852672751,0.8571428571428571,1.0,6,30,3,False,ev & mobilya,0.9
TERM_00114a19,mobilya zımbası,1.0,1.0,1.0,1,5,2,False,giyim,0.9
TERM_0019aa2a,süet topuklu,0.9488555643251776,0.9411764705882353,0.8888888888888888,18,90,2,False,ayakkabı,0.9
TERM_001a453a,mikrodalga dolabı,0.9727272727272728,0.9545454545454546,0.9545454545454546,22,110,2,True,ev & mobilya,0.9
TERM_001dfd42,siyah polo yaka,1.0,1.0,1.0,11,55,3,False,giyim,0.9
TERM_00209282,kuba çita aksesuar,1.0,1.0,1.0,1,5,3,False,otomobil & motosiklet,0.9
TERM_00247623,bebek oto koltuğu,0.9757983193277311,0.9230769230769231,1.0,12,60,3,False,anne & bebek & çocuk,0.9
TERM_0024b0d1,lalisa,1.0,1.0,1.0,1,5,1,False,kırtasiye & ofis malzemeleri,0.9
TERM_002ed9d9,gynobiotic,1.0,1.0,1.0,2,10,1,False,giyim,0.9
TERM_0033a102,obsidyen,0.9443413729128014,0.8333333333333334,1.0,5,25,1,False,aksesuar,0.9
TERM_0034897b,erkek çocuk kazak,0.976923076923077,0.9615384615384616,0.9615384615384616,26,130,3,False,giyim,0.9
TERM_0035f0bf,ipek saten yastık kılıfı,1.0,1.0,1.0,9,45,4,False,ev & mobilya,0.9
TERM_00391063,ince tarak,1.0,1.0,1.0,4,20,2,False,kozmetik & kişisel bakım,0.9
TERM_003996f2,lc waikiki çocuk pantolon,0.9594202898550726,0.875,1.0,7,35,4,True,giyim,0.9
TERM_00416cb7,tezgah üstü bulaşık makinesi,1.0,1.0,1.0,3,15,4,False,elektronik,0.9
TERM_00474693,gaming masa,1.0,1.0,1.0,4,20,2,False,ev & mobilya,0.9
TERM_0047e1ec,yeşil yelek,1.0,1.0,1.0,6,30,2,False,giyim,0.9
