term_id,query,f1,precision,recall,n_pos,n_neg,q_len,main_cat
TERM_070cb47b,frank müller,0.4,0.0,0.0,1,5,2,banyo yapı & hırdavat
TERM_cb896938,nokia,0.4,0.0,0.0,3,15,1,elektronik
TERM_b0905eff,fakir koltuk yıkama,0.4,0.0,0.0,1,5,3,elektronik
TERM_88107fa0,isonem jel beton,0.4,0.0,0.0,1,5,3,banyo yapı & hırdavat
TERM_b284d3bb,oturma odası aksesuar,0.4,0.0,0.0,1,5,3,ev & mobilya
TERM_f46aa982,makyaj masası organizeri,0.4,0.0,0.0,1,5,3,elektronik
TERM_3e4b4e0a,lavoba,0.4,0.0,0.0,1,5,1,banyo yapı & hırdavat
TERM_3d1be310,robix,0.4,0.0,0.0,3,15,1,elektronik
TERM_148e6e0b,beşiktaş erkek,0.4,0.0,0.0,2,10,2,giyim
TERM_54ba2924,loral,0.4,0.0,0.0,1,5,1,giyim
TERM_b22c3f03,dekatlon kadın,0.42857142857142855,0.0,0.0,2,10,2,giyim
TERM_b5d210e4,kaft kadın,0.4473684210526316,0.0,0.0,14,70,2,aksesuar
TERM_fecda39d,nem alıcı rutubet giderici cihaz,0.45454545454545453,0.0,0.0,1,5,5,banyo yapı & hırdavat
TERM_53f2a887,göz altı kolejen bandı,0.45454545454545453,0.0,0.0,1,5,4,kozmetik & kişisel bakım
TERM_fe49ad53,tisaine,0.45454545454545453,0.0,0.0,2,10,1,süpermarket
TERM_db45b0c2,bybliss,0.45454545454545453,0.0,0.0,3,15,1,elektronik
TERM_4d23a101,kawaii,0.45454545454545453,0.0,0.0,1,5,1,giyim
TERM_186a2c05,nike kapşonlu,0.45454545454545453,0.0,0.0,1,5,2,giyim
TERM_53052c1e,ürün,0.45454545454545453,0.0,0.0,3,15,1,hobi & eğlence
TERM_34fb4db3,çocuk ev terlik,0.45454545454545453,0.0,0.0,1,5,3,ayakkabı
TERM_e5d4a1d3,mac cool spice,0.45454545454545453,0.0,0.0,1,5,3,kozmetik & kişisel bakım
TERM_57a4106e,dc shoes,0.45454545454545453,0.0,0.0,1,5,2,ayakkabı
TERM_72ca0824,acar feel good,0.45454545454545453,0.0,0.0,1,5,3,ev & mobilya
TERM_0cea94ba,popo maskesi,0.45454545454545453,0.0,0.0,1,5,2,kozmetik & kişisel bakım
TERM_3ae5ea3b,balkon çadırı,0.45454545454545453,0.0,0.0,1,5,2,ev & mobilya
TERM_64c4ebea,adidas sportswear,0.45454545454545453,0.0,0.0,2,10,2,ayakkabı
TERM_bd2a9abe,100 ml,0.45454545454545453,0.0,0.0,1,5,2,ev & mobilya
TERM_20c933e1,tırnak eti kesme,0.45454545454545453,0.0,0.0,1,5,3,kozmetik & kişisel bakım
TERM_ee2397fa,madz101,0.45454545454545453,0.0,0.0,1,5,1,aksesuar
TERM_cb0ab4a5,selin ciğerci,0.45454545454545453,0.0,0.0,1,5,2,kozmetik & kişisel bakım
