pair_id,verdict,reason
4200,1,same brand d-c-fix and product type (yapışkanlı folyo)
4201,1,same brand d-c-fix and product type (yapışkanlı folyo)
4202,1,same brand d-c-fix and product type (yapışkanlı folyo)
4203,1,same brand d-c-fix and product type (yapışkanlı folyo)
4204,1,same brand d-c-fix and product type (yapışkanlı folyo)
4205,0,AAA battery not the 27A 12V type queried
4206,0,CR2450 3V button cell not 27A 12V
4207,0,CR123A 3V battery not 27A 12V
4208,0,AAA battery not 27A 12V
4209,0,AAA battery not 27A 12V
4210,1,stanley brand tape measure matches query
4211,1,stanley brand tape measure matches query
4212,1,stanley brand tape measure matches query
4213,0,wrong brand spelt not stanley
4214,0,stanley brand but a tumbler/thermos not a tape measure
4215,1,xiaomi (redmi) earbuds match xaomi kulaklık query
4216,1,xiaomi (redmi) earbuds match xaomi kulaklık query
4217,1,xiaomi (redmi) earbuds match xaomi kulaklık query
4218,1,xiaomi (redmi) earbuds match xaomi kulaklık query
4219,1,xiaomi (redmi) earbuds match xaomi kulaklık query
4220,1,pompom detailed fon perde matches query
4221,1,pompom detailed fon perde matches query
4222,1,pompom detailed fon perde matches query
4223,1,pompom detailed fon perde matches query
4224,1,pompom detailed fon perde matches query
4225,1,car wash sponge matches query
4226,1,car wash sponge matches query
4227,1,car wash sponge matches query
4228,1,car wash sponge matches query
4229,1,car wash sponge matches query
4230,1,terzi ayhan brand suit matches query
4231,1,terzi ayhan brand suit matches query
4232,1,terzi ayhan brand suit matches query
4233,1,terzi ayhan brand suit matches query
4234,1,terzi ayhan brand suit matches query
4235,1,bioxcin brand hair vitamin/supplement matches query
4236,1,bioxcin brand hair vitamin/supplement matches query
4237,1,bioxcin brand hair vitamin/supplement matches query
4238,1,bioxcin brand hair vitamin/supplement matches query
4239,0,bioxcin brand but a hair serum not a vitamin/supplement
4240,1,serstil brand storage hurç matches query
4241,1,serstil brand storage hurç matches query
4242,1,serstil brand storage hurç matches query
4243,1,serstil brand storage hurç matches query
4244,1,serstil brand storage hurç matches query
4245,1,stainless steel bracelet matches query
4246,1,stainless steel bracelet matches query
4247,1,title explicitly says çelik bileklik, matches query
4248,1,stainless steel bracelet matches query
4249,1,stainless steel bracelet matches query
4250,1,footballer-themed book matches query
4251,1,footballer-themed book matches query
4252,1,footballer-themed book matches query
4253,1,footballer-themed book matches query
4254,1,footballer-themed book matches query
4255,1,titanium cookware matches generic titanyum query
4256,0,wax product unrelated to titanium intent of query
4257,1,titanium cookware matches query
4258,1,titanium cookware matches query
4259,1,titanium cookware matches query
